timestamp,asset_id,mode,outdoor_temp_c,outdoor_coil_temp_c,suction_pressure_kpa,discharge_pressure_kpa,suction_temp_c,discharge_temp_c,superheat_k,subcooling_k,compressor_command,outdoor_fan_command,reversing_valve_command,defrost_command,alarm_code,data_quality
2026-07-15T00:00:00,HP-01,heating,-2.0,1.0,430.0,1705.0,5.0,74.0,4.0,5.0,1,1,0,0,,good
2026-07-15T00:00:10,HP-01,heating,-2.0,1.0,430.037,1704.999,5.0,74.022,4.0,5.0,1,1,0,0,,good
2026-07-15T00:00:20,HP-01,heating,-2.0,1.0,430.075,1704.997,5.0,74.044,4.0,5.0,1,1,0,0,,good
2026-07-15T00:00:30,HP-01,heating,-2.0,1.0,430.112,1704.992,5.0,74.067,4.0,5.0,1,1,0,0,,good
2026-07-15T00:00:40,HP-01,heating,-2.0,1.0,430.15,1704.986,5.0,74.089,4.0,5.0,1,1,0,0,,good
2026-07-15T00:00:50,HP-01,heating,-2.0,1.0,430.187,1704.978,5.0,74.111,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:00,HP-01,heating,-2.0,1.0,430.225,1704.969,5.0,74.133,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:10,HP-01,heating,-2.0,1.0,430.262,1704.957,5.0,74.155,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:20,HP-01,heating,-2.0,1.0,430.3,1704.944,5.0,74.178,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:30,HP-01,heating,-2.0,1.0,430.337,1704.93,5.0,74.2,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:40,HP-01,heating,-2.0,1.0,430.374,1704.913,5.0,74.222,4.0,5.0,1,1,0,0,,good
2026-07-15T00:01:50,HP-01,heating,-2.0,1.0,430.411,1704.895,5.0,74.244,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:00,HP-01,heating,-2.0,1.0,430.448,1704.875,5.0,74.266,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:10,HP-01,heating,-2.0,1.0,430.485,1704.853,5.0,74.288,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:20,HP-01,heating,-2.0,1.0,430.522,1704.83,5.0,74.31,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:30,HP-01,heating,-2.0,1.0,430.559,1704.805,5.0,74.332,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:40,HP-01,heating,-2.0,1.0,430.596,1704.778,5.0,74.354,4.0,5.0,1,1,0,0,,good
2026-07-15T00:02:50,HP-01,heating,-2.0,1.0,430.633,1704.75,5.0,74.376,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:00,HP-01,heating,-1.999,1.001,430.669,1704.719,5.001,74.397,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:10,HP-01,heating,-1.999,1.001,430.706,1704.687,5.001,74.419,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:20,HP-01,heating,-1.999,1.001,430.742,1704.654,5.001,74.441,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:30,HP-01,heating,-1.999,1.001,430.778,1704.618,5.001,74.462,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:40,HP-01,heating,-1.999,1.001,430.815,1704.581,5.001,74.484,4.0,5.0,1,1,0,0,,good
2026-07-15T00:03:50,HP-01,heating,-1.999,1.001,430.851,1704.542,5.001,74.506,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:00,HP-01,heating,-1.999,1.001,430.887,1704.502,5.001,74.527,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:10,HP-01,heating,-1.999,1.001,430.922,1704.459,5.001,74.548,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:20,HP-01,heating,-1.999,1.001,430.958,1704.415,5.001,74.57,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:30,HP-01,heating,-1.999,1.001,430.993,1704.37,5.001,74.591,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:40,HP-01,heating,-1.999,1.001,431.029,1704.323,5.001,74.612,4.0,5.0,1,1,0,0,,good
2026-07-15T00:04:50,HP-01,heating,-1.999,1.001,431.064,1704.274,5.001,74.633,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:00,HP-01,heating,-1.999,1.001,431.099,1704.223,5.001,74.654,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:10,HP-01,heating,-1.998,1.002,431.134,1704.17,5.002,74.675,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:20,HP-01,heating,-1.998,1.002,431.168,1704.116,5.002,74.696,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:30,HP-01,heating,-1.998,1.002,431.203,1704.061,5.002,74.717,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:40,HP-01,heating,-1.998,1.002,431.237,1704.003,5.002,74.738,4.0,5.0,1,1,0,0,,good
2026-07-15T00:05:50,HP-01,heating,-1.998,1.002,431.271,1703.944,5.002,74.758,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:00,HP-01,heating,-1.998,1.002,431.305,1703.883,5.002,74.779,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:10,HP-01,heating,-1.998,1.002,431.339,1703.821,5.002,74.799,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:20,HP-01,heating,-1.998,1.002,431.372,1703.757,5.002,74.82,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:30,HP-01,heating,-1.998,1.002,431.405,1703.691,5.002,74.84,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:40,HP-01,heating,-1.997,1.003,431.438,1703.624,5.003,74.86,4.0,5.0,1,1,0,0,,good
2026-07-15T00:06:50,HP-01,heating,-1.997,1.003,431.471,1703.555,5.003,74.88,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:00,HP-01,heating,-1.997,1.003,431.504,1703.484,5.003,74.9,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:10,HP-01,heating,-1.997,1.003,431.536,1703.412,5.003,74.92,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:20,HP-01,heating,-1.997,1.003,431.568,1703.338,5.003,74.939,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:30,HP-01,heating,-1.997,1.003,431.6,1703.263,5.003,74.959,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:40,HP-01,heating,-1.997,1.003,431.632,1703.186,5.003,74.978,4.0,5.0,1,1,0,0,,good
2026-07-15T00:07:50,HP-01,heating,-1.996,1.004,431.663,1703.107,5.004,74.998,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:00,HP-01,heating,-1.996,1.004,431.694,1703.027,5.004,75.017,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:10,HP-01,heating,-1.996,1.004,431.725,1702.945,5.004,75.036,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:20,HP-01,heating,-1.996,1.004,431.755,1702.861,5.004,75.055,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:30,HP-01,heating,-1.996,1.004,431.786,1702.776,5.004,75.074,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:40,HP-01,heating,-1.996,1.004,431.816,1702.689,5.004,75.092,4.0,5.0,1,1,0,0,,good
2026-07-15T00:08:50,HP-01,heating,-1.996,1.004,431.845,1702.601,5.004,75.111,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:00,HP-01,heating,-1.995,1.005,431.875,1702.511,5.005,75.129,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:10,HP-01,heating,-1.995,1.005,431.904,1702.42,5.005,75.148,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:20,HP-01,heating,-1.995,1.005,431.933,1702.327,5.005,75.166,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:30,HP-01,heating,-1.995,1.005,431.961,1702.232,5.005,75.184,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:40,HP-01,heating,-1.995,1.005,431.989,1702.136,5.005,75.202,4.0,5.0,1,1,0,0,,good
2026-07-15T00:09:50,HP-01,heating,-1.994,1.006,432.017,1702.039,5.006,75.219,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:00,HP-01,heating,-1.994,1.006,432.045,1701.94,5.006,75.237,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:10,HP-01,heating,-1.994,1.006,432.072,1701.839,5.006,75.254,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:20,HP-01,heating,-1.994,1.006,432.099,1701.737,5.006,75.271,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:30,HP-01,heating,-1.994,1.006,432.126,1701.633,5.006,75.288,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:40,HP-01,heating,-1.994,1.006,432.152,1701.528,5.006,75.305,4.0,5.0,1,1,0,0,,good
2026-07-15T00:10:50,HP-01,heating,-1.993,1.007,432.178,1701.421,5.007,75.322,4.0,5.0,1,1,0,0,,good
2026-07-15T00:11:00,HP-01,heating,-1.993,1.007,432.204,1701.313,5.007,75.339,4.0,5.0,1,1,0,0,,good
