timestamp,supply_temp_c,return_temp_c,power_kw,cooling_kw,load_pct
2026-06-30T00:00:00,7.0,11.5,80.0,304.0,40.0
2026-06-30T01:00:00,7.0,11.4,78.0,292.5,38.0
2026-06-30T02:00:00,7.1,11.4,76.0,285.0,36.0
2026-06-30T03:00:00,7.1,11.3,75.0,277.5,35.0
2026-06-30T04:00:00,7.0,11.4,77.0,292.6,37.0
2026-06-30T05:00:00,7.0,11.7,84.0,327.6,43.0
2026-06-30T06:00:00,7.0,11.9,91.0,368.6,49.0
2026-06-30T07:00:00,7.0,12.1,99.0,410.9,55.0
2026-06-30T08:00:00,7.0,12.3,106.0,455.8,60.0
2026-06-30T09:00:00,7.1,12.6,114.0,501.6,66.0
2026-06-30T10:00:00,7.2,12.9,122.0,546.6,72.0
2026-06-30T11:00:00,7.3,13.1,128.0,582.4,76.0
2026-06-30T12:00:00,7.4,13.4,134.0,616.4,80.0
2026-06-30T13:00:00,7.4,13.6,140.0,644.0,84.0
2026-06-30T14:00:00,7.5,13.7,144.0,662.4,87.0
2026-06-30T15:00:00,7.5,13.8,146.0,671.6,88.0
2026-06-30T16:00:00,7.4,13.6,142.0,653.2,85.0
2026-06-30T17:00:00,7.3,13.3,135.0,607.5,81.0
2026-06-30T18:00:00,7.2,13.0,126.0,554.4,74.0
2026-06-30T19:00:00,7.1,12.7,116.0,510.4,67.0
2026-06-30T20:00:00,7.0,12.4,107.0,460.1,61.0
2026-06-30T21:00:00,7.0,12.1,98.0,406.7,54.0
2026-06-30T22:00:00,7.0,11.9,91.0,368.6,49.0
2026-06-30T23:00:00,7.0,11.7,84.0,327.6,43.0
2026-07-01T00:00:00,7.0,11.6,82.0,319.8,42.0
2026-07-01T01:00:00,7.0,11.5,80.0,304.0,40.0
2026-07-01T02:00:00,7.1,11.5,78.0,296.4,38.0
2026-07-01T03:00:00,7.1,11.4,76.0,285.0,36.0
2026-07-01T04:00:00,7.0,11.5,79.0,304.2,39.0
2026-07-01T05:00:00,7.0,11.8,86.0,339.7,45.0
2026-07-01T06:00:00,7.0,12.0,94.0,385.4,51.0
2026-07-01T07:00:00,7.0,12.2,102.0,428.4,57.0
2026-07-01T08:00:00,7.0,12.4,108.0,464.4,62.0
2026-07-01T09:00:00,7.1,12.7,116.0,510.4,68.0
2026-07-01T10:00:00,7.2,13.0,124.0,558.0,74.0
2026-07-01T11:00:00,7.3,13.2,130.0,591.5,78.0
2026-07-01T12:00:00,7.4,13.5,136.0,625.6,82.0
2026-07-01T13:00:00,7.4,13.7,142.0,653.2,86.0
2026-07-01T14:00:00,7.5,13.9,148.0,680.8,90.0
2026-07-01T15:00:00,7.6,14.0,152.0,699.2,93.0
2026-07-01T16:00:00,7.5,13.8,146.0,671.6,89.0
2026-07-01T17:00:00,7.3,13.4,137.0,616.5,83.0
2026-07-01T18:00:00,7.2,13.1,128.0,569.6,76.0
2026-07-01T19:00:00,7.1,12.8,118.0,519.2,69.0
2026-07-01T20:00:00,7.0,12.5,109.0,468.7,63.0
2026-07-01T21:00:00,7.0,12.2,101.0,424.2,56.0
2026-07-01T22:00:00,7.0,12.0,94.0,385.4,51.0
2026-07-01T23:00:00,7.0,11.8,87.0,343.7,46.0
2026-07-02T00:00:00,7.0,11.6,81.0,315.9,41.0
2026-07-02T01:00:00,7.0,11.5,79.0,300.2,39.0
2026-07-02T02:00:00,7.1,11.4,77.0,288.8,37.0
2026-07-02T03:00:00,7.1,11.4,76.0,281.2,36.0
2026-07-02T04:00:00,7.0,11.5,78.0,300.3,38.0
2026-07-02T05:00:00,7.0,11.7,84.0,331.8,44.0
2026-07-02T06:00:00,7.0,11.9,92.0,377.2,50.0
2026-07-02T07:00:00,7.0,12.1,100.0,420.0,56.0
2026-07-02T08:00:00,7.0,12.3,107.0,460.1,61.0
2026-07-02T09:00:00,7.1,12.6,114.0,501.6,66.0
2026-07-02T10:00:00,7.2,12.9,121.0,544.5,71.0
2026-07-02T11:00:00,7.3,13.1,127.0,577.9,75.0
2026-07-02T12:00:00,7.4,13.3,132.0,607.2,79.0
2026-07-02T13:00:00,7.4,13.5,137.0,630.2,82.0
2026-07-02T14:00:00,7.5,13.7,141.0,648.6,85.0
2026-07-02T15:00:00,7.5,13.7,143.0,657.8,86.0
2026-07-02T16:00:00,7.4,13.5,139.0,639.4,83.0
2026-07-02T17:00:00,7.3,13.2,133.0,598.5,79.0
2026-07-02T18:00:00,7.2,12.9,124.0,545.6,72.0
2026-07-02T19:00:00,7.1,12.6,115.0,494.5,65.0
2026-07-02T20:00:00,7.0,12.3,106.0,455.8,59.0
2026-07-02T21:00:00,7.0,12.1,98.0,406.7,53.0
2026-07-02T22:00:00,7.0,11.9,91.0,368.6,48.0
2026-07-02T23:00:00,7.0,11.7,85.0,331.5,44.0
